"100324,070127,21.089006,105.904121,0,0,-16"
"100324,070133,21.089014,105.904136,0,0,-16"
"100324,070139,21.089000,105.904121,0,0,-16"
"100324,070145,21.088996,105.904121,0,0,-16"
"100324,070151,21.088981,105.904098,0,0,-16"
"100324,070158,21.089000,105.904121,0,0,-16"
"100324,070204,21.089000,105.904136,0,0,-16"
"100324,070210,21.088981,105.904121,0,0,-16"
"100324,070216,21.088939,105.904052,0,0,-16"
"100324,070223,21.088924,105.904022,0,0,-16"
"100324,070229,21.088960,105.904067,0,0,-16"
"100324,070235,21.089010,105.904136,0,0,-16"
"100324,070241,21.089029,105.904182,0,0,-16"
"100324,070247,21.089014,105.904167,0,0,-16"
"100324,070254,21.088985,105.904136,0,0,-16"
"100324,070300,21.088996,105.904121,0,0,-16"
"100324,070306,21.089006,105.904136,0,0,-16"
"100324,070312,21.088996,105.904136,0,0,-16"
"100324,070318,21.088993,105.904136,0,0,-16"
"100324,070325,21.088972,105.904136,0,0,-16"
"100324,070331,21.088960,105.904136,0,0,-16"
"100324,070337,21.088960,105.904151,0,0,-16"
"100324,070343,21.088949,105.904151,0,0,-16"
"100324,070350,21.088956,105.904136,0,0,-16"
"100324,070356,21.088953,105.904136,0,0,-16"
"100324,070402,21.088960,105.904151,0,0,-16"
"100324,070408,21.088993,105.904182,0,0,-16"
"100324,070414,21.089014,105.904197,0,0,-16"
"100324,070421,21.089054,105.904251,0,0,-16"
"100324,070427,21.089071,105.904251,0,0,-16"
"100324,070433,21.089082,105.904251,0,0,-16"
"100324,070439,21.089067,105.904212,0,0,-16"
"100324,070446,21.089078,105.904212,0,0,-16"
"100324,070452,21.089086,105.904251,0,0,-16"
"100324,070458,21.089094,105.904266,0,0,-16"
"100324,070504,21.089115,105.904296,0,0,-16"
"100324,070510,21.089132,105.904296,0,0,-16"
"100324,070517,21.089118,105.904251,0,0,-16"
"100324,070523,21.089118,105.904266,0,0,-16"
"100324,070529,21.089128,105.904281,0,0,-16"
"100324,070535,21.089118,105.904251,0,0,-16"
"100324,070541,21.089111,105.904251,0,0,-16"
"100324,070548,21.089061,105.904228,0,0,-16"
"100324,070554,21.089038,105.904228,0,0,-16"
"100324,070600,21.089050,105.904251,0,0,-16"
"100324,070606,21.089050,105.904251,0,0,-16"
"100324,070613,21.089050,105.904228,0,0,-16"
"100324,070619,21.089061,105.904228,0,0,-16"
"100324,070625,21.089054,105.904228,0,0,-16"
"100324,070631,21.089054,105.904228,0,0,-16"
"100324,070637,21.089054,105.904228,0,0,-16"
"100324,070644,21.089050,105.904228,0,0,-16"
"100324,070650,21.089057,105.904251,0,0,-16"
"100324,070656,21.089054,105.904266,0,0,-16"
"100324,070702,21.089054,105.904281,0,0,-16"
"100324,070709,21.089042,105.904281,0,0,-16"
"100324,070715,21.089042,105.904266,0,0,-16"
"100324,070721,21.089054,105.904266,0,0,-16"
"100324,070727,21.089046,105.904266,0,0,-16"
"100324,070733,21.089042,105.904251,0,0,-16"
"100324,070740,21.089057,105.904251,0,0,-16"
"100324,070746,21.089050,105.904228,0,0,-16"
"100324,070752,21.089046,105.904228,0,0,-16"
"100324,070758,21.089038,105.904212,0,0,-16"
"100324,070804,21.089042,105.904197,0,0,-16"
"100324,070811,21.089057,105.904197,0,0,-16"
"100324,070817,21.089061,105.904212,0,0,-16"
"100324,070823,21.089067,105.904212,0,0,-16"
"100324,070829,21.089061,105.904212,0,0,-16"
"100324,070836,21.089050,105.904212,0,0,-16"
"100324,070842,21.089042,105.904182,0,0,-16"
"100324,070848,21.089071,105.904197,0,0,-16"
"100324,070854,21.089086,105.904212,0,0,-16"
"100324,070900,21.089078,105.904212,0,0,-16"
"100324,070907,21.089082,105.904251,0,0,-16"
"100324,070913,21.089094,105.904281,0,0,-16"
"100324,070919,21.089086,105.904281,0,0,-16"
"100324,070925,21.089082,105.904281,0,0,-16"
"100324,070932,21.089075,105.904266,0,0,-16"
"100324,070938,21.089061,105.904266,0,0,-16"
"100324,070944,21.089050,105.904266,0,0,-16"
"100324,070950,21.089061,105.904266,0,0,-16"
"100324,070956,21.089071,105.904266,0,0,-16"
"100324,071003,21.089090,105.904281,0,0,-16"
"100324,071009,21.089094,105.904281,0,0,-16"
"100324,071015,21.089082,105.904281,0,0,-16"
"100324,071021,21.089082,105.904281,0,0,-16"
"100324,071027,21.089094,105.904281,0,0,-16"
"100324,071034,21.089115,105.904281,0,0,-16"
"100324,071040,21.089111,105.904266,0,0,-16"
"100324,071046,21.089103,105.904251,0,0,-16"
"100324,071052,21.089111,105.904228,0,0,-16"
"100324,071059,21.089082,105.904212,0,0,-16"
"100324,071105,21.089090,105.904212,0,0,-16"
"100324,071111,21.089107,105.904197,0,0,-16"
"100324,071117,21.089118,105.904212,0,0,-16"
"100324,071123,21.089118,105.904212,0,0,-16"
"100324,071130,21.089143,105.904212,0,0,-16"
"100324,071136,21.089136,105.904212,0,0,-16"
"100324,071142,21.089139,105.904212,0,0,-16"
"100324,071148,21.089143,105.904212,0,0,-16"
"100324,071155,21.089176,105.904212,0,0,-16"
"100324,071201,21.089200,105.904251,0,0,-16"
"100324,071207,21.089183,105.904228,0,0,-16"
"100324,071213,21.089139,105.904212,0,0,-16"
"100324,071219,21.089151,105.904212,0,0,-16"
"100324,071226,21.089176,105.904212,0,0,-16"
"100324,071232,21.089208,105.904251,0,0,-16"
"100324,071238,21.089168,105.904228,0,0,-16"
"100324,071244,21.089147,105.904212,0,0,-16"
"100324,071251,21.089132,105.904182,0,0,-16"
"100324,071257,21.089067,105.904151,0,0,-16"
"100324,071303,21.089042,105.904151,0,0,-16"
"100324,071309,21.089046,105.904167,0,0,-16"
"100324,071315,21.089029,105.904167,0,0,-16"
"100324,071322,21.089029,105.904167,0,0,-16"
"100324,071328,21.089067,105.904212,0,0,-16"
"100324,071334,21.089075,105.904251,0,0,-16"
