Index,Lat,Lon,GPS time,UTC
6828,20.98344517,105.92516367,2305:523358.900,01:22:20.950 03/16/2024
6829,20.98344817,105.92516217,2305:523358.950,01:22:21.000 03/16/2024
6830,20.98345083,105.92516083,2305:523359.050,01:22:21.050 03/16/2024
6831,20.98345350,105.92515950,2305:523359.050,01:22:21.100 03/16/2024
6832,20.98345633,105.92515783,2305:523359.100,01:22:21.150 03/16/2024
6833,20.98345900,105.92515650,2305:523359.150,01:22:21.200 03/16/2024
6834,20.98346183,105.92515450,2305:523359.250,01:22:21.250 03/16/2024
6835,20.98346467,105.92515317,2305:523359.250,01:22:21.300 03/16/2024
6836,20.98346767,105.92515083,2305:523359.350,01:22:21.350 03/16/2024
6837,20.98347017,105.92514917,2305:523359.350,01:22:21.400 03/16/2024
6838,20.98347283,105.92514733,2305:523359.400,01:22:21.450 03/16/2024
6839,20.98347550,105.92514533,2305:523359.450,01:22:21.500 03/16/2024
6840,20.98347800,105.92514350,2305:523359.500,01:22:21.550 03/16/2024
6841,20.98348083,105.92514183,2305:523359.550,01:22:21.600 03/16/2024
6842,20.98348367,105.92513983,2305:523359.600,01:22:21.650 03/16/2024
6843,20.98348650,105.92513800,2305:523359.650,01:22:21.700 03/16/2024
6844,20.98348900,105.92513650,2305:523359.700,01:22:21.750 03/16/2024
6845,20.98349133,105.92513533,2305:523359.750,01:22:21.800 03/16/2024
6846,20.98349417,105.92513400,2305:523359.800,01:22:21.850 03/16/2024
6847,20.98349683,105.92513233,2305:523359.850,01:22:21.900 03/16/2024
6848,20.98349917,105.92513017,2305:523359.900,01:22:21.950 03/16/2024
6849,20.98350183,105.92512817,2305:523359.950,01:22:22.000 03/16/2024
6850,20.98350433,105.92512600,2305:523360.000,01:22:22.050 03/16/2024
6851,20.98350700,105.92512433,2305:523360.050,01:22:22.100 03/16/2024
6852,20.98350950,105.92512267,2305:523360.100,01:22:22.150 03/16/2024
6853,20.98351200,105.92512100,2305:523360.150,01:22:22.200 03/16/2024
6854,20.98351450,105.92511933,2305:523360.200,01:22:22.250 03/16/2024
6855,20.98351700,105.92511783,2305:523360.250,01:22:22.300 03/16/2024
6856,20.98351967,105.92511650,2305:523360.300,01:22:22.350 03/16/2024
6857,20.98352200,105.92511517,2305:523360.350,01:22:22.400 03/16/2024
6858,20.98352450,105.92511383,2305:523360.400,01:22:22.450 03/16/2024
6859,20.98352717,105.92511217,2305:523360.450,01:22:22.500 03/16/2024
6860,20.98352950,105.92511067,2305:523360.500,01:22:22.550 03/16/2024
6861,20.98353217,105.92510933,2305:523360.550,01:22:22.600 03/16/2024
6862,20.98353450,105.92510783,2305:523360.600,01:22:22.650 03/16/2024
6863,20.98353700,105.92510650,2305:523360.650,01:22:22.700 03/16/2024
6864,20.98353933,105.92510517,2305:523360.700,01:22:22.750 03/16/2024
6865,20.98354150,105.92510333,2305:523360.750,01:22:22.800 03/16/2024
6866,20.98354383,105.92510183,2305:523360.800,01:22:22.850 03/16/2024
6867,20.98354617,105.92510067,2305:523360.850,01:22:22.900 03/16/2024
6868,20.98354850,105.92509933,2305:523360.900,01:22:22.950 03/16/2024
6869,20.98355067,105.92509800,2305:523360.950,01:22:23.000 03/16/2024
6870,20.98355283,105.92509667,2305:523361.000,01:22:23.050 03/16/2024
6871,20.98355500,105.92509533,2305:523361.050,01:22:23.100 03/16/2024
6872,20.98355717,105.92509400,2305:523361.100,01:22:23.150 03/16/2024
6873,20.98355950,105.92509283,2305:523361.150,01:22:23.200 03/16/2024
6874,20.98356167,105.92509167,2305:523361.200,01:22:23.250 03/16/2024
6875,20.98356367,105.92509033,2305:523361.250,01:22:23.300 03/16/2024
6876,20.98356583,105.92508917,2305:523361.300,01:22:23.350 03/16/2024
6877,20.98356800,105.92508817,2305:523361.350,01:22:23.400 03/16/2024
6878,20.98357000,105.92508700,2305:523361.400,01:22:23.450 03/16/2024
6879,20.98357217,105.92508567,2305:523361.500,01:22:23.500 03/16/2024
6880,20.98357417,105.92508433,2305:523361.500,01:22:23.550 03/16/2024
6881,20.98357600,105.92508283,2305:523361.550,01:22:23.600 03/16/2024
