Lat,Lon
20.9981167,105.8404000
20.9981500,105.8401667
20.9982000,105.8400167
20.9982333,105.8399333
20.9982667,105.8398500
20.9983000,105.8397500
20.9983333,105.8396000
20.9983667,105.8394333
20.9984000,105.8392667
20.9984500,105.8391000
20.9984667,105.8389167
20.9985000,105.8387167
20.9985500,105.8385167
20.9986167,105.8383167
20.9986667,105.8381167
20.9987167,105.8379000
20.9994667,105.8352500
20.9994667,105.8350167
20.9994333,105.8347833
20.9994500,105.8346000
20.9995833,105.8344667
20.9996500,105.8343167
20.9997000,105.8341333
20.9997167,105.8339333
20.9997500,105.8337333
20.9998000,105.8335167
20.9998500,105.8332833
20.9998833,105.8330500
20.9999333,105.8328167
21.0000000,105.8326000
21.0000833,105.8323500
21.0001833,105.8321500
21.0002000,105.8319500
21.0002500,105.8317333
21.0003333,105.8312333
21.0001167,105.8311500
21.0000333,105.8308333
21.0000500,105.8307833
21.0001667,105.8308167
21.0002333,105.8307667
21.0002833,105.8307500
21.0004167,105.8307167
21.0004667,105.8306833
21.0004500,105.8306333
21.0004500,105.8305500
21.0004667,105.8304667
21.0005000,105.8303833
21.0005333,105.8302667
21.0005500,105.8301500
21.0005667,105.8300500
21.0006000,105.8299667
21.0006167,105.8298833
21.0006333,105.8298000
21.0006333,105.8297667
21.0006500,105.8297167
21.0006500,105.8297000
21.0006500,105.8296667
21.0006500,105.8296500
21.0006500,105.8296500
21.0006333,105.8296167
21.0006333,105.8296000
21.0006333,105.8295833
21.0006500,105.8295667
21.0006500,105.8295500
21.0006500,105.8295500
21.0006500,105.8295500
21.0006333,105.8295500
21.0006333,105.8295333
21.0006167,105.8295167
21.0006167,105.8295167
21.0006167,105.8295167
21.0006167,105.8295167
21.0006167,105.8295167
21.0006000,105.8295167
21.0006000,105.8295167
21.0006167,105.8295333
21.0006167,105.8295333
21.0006167,105.8295167
21.0006167,105.8295167
21.0006167,105.8295167
21.0006167,105.8295333
21.0006167,105.8295500
21.0006167,105.8295667
21.0006167,105.8295667
21.0006167,105.8295667
21.0006167,105.8295833
21.0006333,105.8295833
21.0006667,105.8295500
21.0006833,105.8295000
21.0007167,105.8294000
21.0007500,105.8292667
21.0008333,105.8291000
21.0009333,105.8289000
21.0010333,105.8287000
21.0011000,105.8284833
21.0011667,105.8282667
21.0012667,105.8280500
21.0013333,105.8278333
21.0014000,105.8276333
21.0014500,105.8274333
21.0015000,105.8272167
21.0015667,105.8270167
21.0017000,105.8265833
21.0018167,105.8261333
21.0018833,105.8259167
21.0020333,105.8255000
21.0021167,105.8233500
21.0022500,105.8232833
21.0023000,105.8232667
21.0023833,105.8232833
21.0024167,105.8232333
21.0024167,105.8231667
21.0024167,105.8231167
21.0024167,105.8231000
21.0024000,105.8230833
21.0024167,105.8230500
21.0024333,105.8230333
21.0024500,105.8230000
21.0024500,105.8229833
21.0024500,105.8229667
21.0024500,105.8229667
21.0024667,105.8229500
21.0024667,105.8229333
21.0024833,105.8229333
21.0024833,105.8229333
21.0024833,105.8229167
21.0025000,105.8229000
21.0025000,105.8228667
21.0025000,105.8228333
21.0025167,105.8228333
21.0025167,105.8228167
21.0025167,105.8228167
21.0025333,105.8228000
21.0025500,105.8227667
21.0025833,105.8227333
21.0025833,105.8226667
21.0026000,105.8226000
21.0026333,105.8225333
21.0026667,105.8224333
21.0026833,105.8223500
21.0027167,105.8222833
21.0027333,105.8222000
21.0027500,105.8221333
21.0027500,105.8220500
21.0027667,105.8219333
21.0027833,105.8218500
21.0027833,105.8217667
21.0027833,105.8215167
21.0028167,105.8214333
21.0028167,105.8214333
21.0027667,105.8214500
21.0027500,105.8214667
21.0027667,105.8214167
21.0028000,105.8213500
21.0028333,105.8213167
21.0028333,105.8213000
21.0028667,105.8212500
21.0028833,105.8212000
21.0029000,105.8211500
21.0029167,105.8211333
21.0029167,105.8211167
21.0029500,105.8210667
21.0029500,105.8210500
21.0029833,105.8209833
21.0029833,105.8209333
21.0030000,105.8208500
21.0030167,105.8208000
21.0030333,105.8207167
21.0030333,105.8206500
21.0030500,105.8205833
21.0030667,105.8205167
21.0030833,105.8204500
21.0030833,105.8203833
21.0031167,105.8203333
21.0031167,105.8203167
21.0031000,105.8203000
21.0031000,105.8203000
21.0031000,105.8203000
21.0030833,105.8203000
21.0030833,105.8203000
21.0030833,105.8203000
21.0030833,105.8203167
21.0030833,105.8203167
21.0030833,105.8203000
21.0030833,105.8203000
