Lat,Lon
20.9837105,105.92501083
20.9837105,105.92501083
20.9837105,105.925011
20.9837105,105.92501117
20.9837105,105.92501133
20.9837105,105.92501133
20.9837105,105.92501133
20.9837105,105.9250115
20.9837105,105.9250115
20.9837105,105.92501167
20.9837105,105.92501167
20.9837105,105.92501183
20.9837105,105.92501183
